"","newid","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team"
"1",1,1,"2017-08-11T18:45:00Z","11 Aug 19:45",4,3,TRUE,1,0,50,0,8964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9
"2",1,512,"2017-08-19T16:30:00Z","19 Aug 17:30",1,0,FALSE,2,0,50,-1128,11030,195,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,15
"3",1,1028,"2017-08-27T15:00:00Z","27 Aug 16:00",4,0,FALSE,3,0,50,-982,11243,106,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,10
"4",1,1559,"2017-09-09T14:00:00Z","09 Sep 15:00",3,0,TRUE,4,0,49,-730,11534,155,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,2
"5",1,2103,"2017-09-17T12:30:00Z","17 Sep 13:30",0,0,FALSE,5,0,49,-441,11566,75,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,5
"6",1,2649,"2017-09-25T19:00:00Z","25 Sep 20:00",2,0,TRUE,6,0,49,-425,11539,147,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,19
"7",1,3199,"2017-10-01T11:00:00Z","01 Oct 12:00",2,0,TRUE,7,0,49,-354,11534,119,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,3
"8",1,3753,"2017-10-14T16:30:00Z","14 Oct 17:30",2,1,FALSE,8,0,49,-300,11589,138,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,18
"9",1,4310,"2017-10-22T12:30:00Z","22 Oct 13:30",2,5,FALSE,9,0,49,-202,11512,66,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,7
"10",1,4869,"2017-10-28T14:00:00Z","28 Oct 15:00",2,1,TRUE,10,0,49,-530,11027,39,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,16
"11",1,5432,"2017-11-05T14:15:00Z","05 Nov 14:15",3,1,FALSE,11,0,49,-312,10761,20,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,11
"12",1,5998,"2017-11-18T12:30:00Z","18 Nov 12:30",2,0,TRUE,12,0,48,-243,10611,21,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,17
"13",1,6567,"2017-11-26T14:00:00Z","26 Nov 14:00",0,1,FALSE,13,0,48,-51,10686,47,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,4
"14",1,7137,"2017-11-29T19:45:00Z","29 Nov 19:45",5,0,TRUE,14,0,48,-63,10704,36,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135,8
"15",1,7708,"2017-12-02T17:30:00Z","02 Dec 17:30",1,3,TRUE,15,0,48,-57,10741,39,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,141,12
"16",1,8282,"2017-12-10T12:00:00Z","10 Dec 12:00",1,1,FALSE,16,0,48,-89,10822,44,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,14
"17",1,8859,"2017-12-13T20:00:00Z","13 Dec 20:00",0,0,FALSE,17,0,48,-76,10832,28,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170,20
"18",1,9437,"2017-12-16T15:00:00Z","16 Dec 15:00",1,0,TRUE,18,0,48,-61,10875,28,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,171,13
"19",1,10017,"2017-12-22T19:45:00Z","22 Dec 19:45",3,3,TRUE,19,0,48,-85,10927,48,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,181,10
"20",1,10602,"2017-12-28T20:00:00Z","28 Dec 20:00",2,3,FALSE,20,0,48,-77,10945,48,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,193,6
"21",1,11188,"2017-12-31T16:30:00Z","31 Dec 16:30",1,1,FALSE,21,0,48,-110,10933,51,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,210,19
"22",1,11714,"2018-01-03T19:45:00Z","03 Jan 19:45",2,2,TRUE,22,0,48,-32,10950,31,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211,5
"23",1,12366,"2018-01-14T13:30:00Z","14 Jan 13:30",2,1,FALSE,23,0,48,-99,11038,59,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,221,2
"24",1,12964,"2018-01-20T15:00:00Z","20 Jan 15:00",4,1,TRUE,24,0,48,-82,11075,40,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,231,6
"25",1,13567,"2018-01-30T19:45:00Z","30 Jan 19:45",3,1,FALSE,25,0,48,-70,11124,85,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,242,16
"26",1,14180,"2018-02-03T17:30:00Z","03 Feb 17:30",5,1,TRUE,26,1,48,-54,11137,26,80,0,0,20,0,0,0,0,0,0,0,0,0,1,0,6,5,0,0,0.5,0,0,0,1,4,0,0,0,8,7,0,0,0,0,0,0,0,0,0,1,251,7
"27",1,14805,"2018-02-10T12:30:00Z","10 Feb 12:30",1,0,FALSE,27,0,48,215,11522,345,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,269,17
"28",1,15432,"2018-03-01T19:45:00Z","01 Mar 19:45",0,3,TRUE,28,0,48,-153,11563,57,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,271,11
"29",1,16062,"2018-03-04T13:30:00Z","04 Mar 13:30",2,1,FALSE,29,0,48,-49,11596,33,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,281,3
"30",1,16695,"2018-03-11T13:30:00Z","11 Mar 13:30",3,0,TRUE,30,0,48,-24,12086,59,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,291,18
"31",1,17596,"2018-04-01T12:30:00Z","01 Apr 13:30",3,0,TRUE,32,6,48,-13,12240,58,71,0,0,90,0,0,1,0,0,0,0,0,0,2,0,26,15.6,0,0,1.6,0,0,0,0,12,0,0,0,31,21,0,0,0,0,0,0,0,0,0,1,311,15
"32",1,18233,"2018-04-08T13:15:00Z","08 Apr 14:15",3,2,TRUE,33,0,48,205,12542,515,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,321,14
"33",1,18874,"2018-04-15T12:30:00Z","15 Apr 13:30",2,1,FALSE,34,0,48,-213,12347,20,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336,13
"34",1,19751,"2018-04-22T12:30:00Z","22 Apr 13:30",4,1,TRUE,35,3,48,51,12612,155,104,0,0,90,0,0,0,1,0,0,0,0,0,3,0,16,23.6,0,0,2.4,0,0,0,1,13,0,0,0,22,20,0,0,0,0,0,0,0,0,0,1,341,20
"35",1,20158,"2018-04-29T15:30:00Z","29 Apr 16:30",2,1,FALSE,36,1,48,110,12630,218,108,0,0,90,0,0,0,2,0,0,0,0,0,0,0,8,1.8,0,0,0.2,0,0,0,1,7,0,0,0,16,9,0,0,0,0,0,0,0,0,0,1,355,12
